country,city,count,locations,firstUpdated,lastUpdated,parameters
US,Augusta-Waterville,65758,2,2016-03-06T19:00:00+00:00,2020-10-02T11:00:00+00:00,"['no2', 'o3', 'so2']"
US,Austin-Round Rock,58205422,11,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,AVERY,24178991,3,2016-04-01T11:00:00+00:00,2021-02-01T03:00:00+00:00,['o3']
US,BAKER,30158812,1,2016-03-10T08:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,Bakersfield,403018389,15,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25']"
US,BALTIMORE,29854514,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['no2', 'o3']"
US,Baltimore-Towson,279367469,10,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm25', 'so2']"
US,Bangor,42049,3,2016-03-06T19:00:00+00:00,2020-10-02T12:00:00+00:00,"['o3', 'pm25']"
US,BANNOCK,29327788,1,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,"['pm10', 'pm25']"
US,Baraboo,58852708,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,Barnstable Town,25982563,1,2016-03-10T07:00:00+00:00,2021-02-01T10:00:00+00:00,['o3']
US,BARTHOLOMEW,5,1,2016-03-13T05:00:00+00:00,2016-10-27T23:00:00+00:00,['pm25']
US,Baton Rouge,311586610,9,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,"['o3', 'pm25']"
US,BAYAMON,11616,1,2016-08-17T18:00:00+00:00,2019-08-30T14:00:00+00:00,"['o3', 'pm25']"
US,Bay City,30371657,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,BEAUFORT,24769561,1,2016-03-06T19:00:00+00:00,2021-02-01T08:00:00+00:00,['so2']
US,Beaumont-Port Arthur,207997986,10,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,BECKER,30395872,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,Bellingham,46611466,3,2016-03-06T19:00:00+00:00,2021-02-01T07:00:00+00:00,"['o3', 'pm25']"
US,BELMONT,58741844,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'so2']"
US,BELTRAMI,30179649,1,2016-03-12T05:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,Bend,46505321,2,2016-03-10T08:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,BENEWAH,47348014,2,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,['pm25']
US,Bennington,56942909,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,BERKELEY,4705,1,2020-03-04T15:00:00+00:00,2020-11-05T17:00:00+00:00,['o3']
US,BERKS,21622137,1,2016-03-06T19:00:00+00:00,2021-01-29T20:00:00+00:00,['o3']
US,BERKSHIRE,80690246,3,2017-10-03T21:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,Berlin,33073,4,2016-03-06T19:00:00+00:00,2020-10-06T13:00:00+00:00,['o3']
US,BERNALILLO,9292,1,2018-09-06T15:00:00+00:00,2020-07-17T12:00:00+00:00,['pm10']
US,BETHEL,24152,1,2018-06-20T15:00:00+00:00,2020-06-26T00:00:00+00:00,"['pm10', 'pm25']"
US,BIG HORN,29588070,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,['o3']
US,Billings,8612,1,2016-03-10T07:00:00+00:00,2017-11-28T22:00:00+00:00,['pm25']
US,Birmingham,168,1,2017-03-14T00:00:00+00:00,2017-05-03T00:00:00+00:00,['ch4']
US,Birmingham-Hoover,274745312,12,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm10', 'pm25', 'so2']"
US,Bishop,574959137,19,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,"['co', 'o3', 'pm10', 'pm25', 'so2']"
US,Blacksburg-Christiansburg-Radford,17759,1,2016-08-28T13:00:00+00:00,2020-08-10T11:00:00+00:00,['o3']
US,BLAINE,29171086,1,2016-04-21T20:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,Bloomington,30026060,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,Bloomington-Normal,29611903,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,BOISE,59877286,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,Boise City-Nampa,266676406,5,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,BOLIVAR,30532272,1,2018-02-17T17:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,BONNER,57384240,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['pm10', 'pm25']"
US,Boston,2349,1,2013-03-07T00:00:00+00:00,2013-06-26T00:00:00+00:00,['ch4']
US,Boston-Cambridge-Quincy,519326167,19,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,Boulder,54944713,2,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,['pm25']
US,BOULDER,27701453,1,2016-12-28T14:00:00+00:00,2021-02-01T10:00:00+00:00,['o3']
US,BOUNDARY,25187401,3,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,Bowling Green,29557717,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,BRADFORD,59343758,1,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,"['o3', 'pm25']"
US,Brainerd,30159078,1,2016-03-10T07:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
