Zipcode,Population,Median Age,Transportation (total),Public Transportation,Public Transportation Rate,City,State,Lat,Lng
10035,34760.0,34.7,12680.0,9752.0,76.90851735015772,Manhattan,New York County,40.794065,-73.9271644
10026,38372.0,34.3,16906.0,12748.0,75.40518159233409,Manhattan,New York County,40.8032131,-73.95258249999999
11106,38633.0,36.1,20206.0,14520.0,71.85984361080867,Long Island City,Queens County,40.7595044,-73.9271644
10454,38751.0,28.6,12048.0,8572.0,71.14873837981408,The Bronx,NY,40.8022594,-73.9154069
11217,38567.0,35.4,21880.0,15519.0,70.92778793418647,Brooklyn,NY,40.6815619,-73.9785952
10040,45278.0,37.6,21459.0,15130.0,70.50654736940211,Manhattan,New York County,40.8639624,-73.93304289999999
11103,38257.0,34.4,22360.0,15747.0,70.42486583184258,Long Island City,Queens County,40.7633726,-73.9109977
10451,47818.0,31.6,16311.0,11405.0,69.92213843418551,The Bronx,NY,40.8187386,-73.9271644
10459,48269.0,28.7,15770.0,10996.0,69.72733037412809,The Bronx,NY,40.8285039,-73.8918897
11102,35027.0,32.6,18556.0,12444.0,67.06186678163397,Long Island City,NY,40.7732937,-73.9286341
10455,39951.0,30.0,13173.0,8678.0,65.8771730053898,West Bronx,Bronx County,40.8147803,-73.90805809999999
11105,36816.0,34.8,19598.0,12820.0,65.4148382488009,Queens,NY,40.7787902,-73.9065883
11231,34605.0,35.6,18911.0,12335.0,65.22658770028026,Brooklyn,NY,40.6772802,-74.0094471
11222,34580.0,33.9,21660.0,13974.0,64.51523545706371,Brooklyn,NY,40.7282702,-73.9506774
10034,42672.0,36.4,19509.0,12490.0,64.02173355887027,Manhattan,New York County,40.8721452,-73.92128579999999
11205,43320.0,29.4,18166.0,11186.0,61.57657161730706,Brooklyn,NY,40.6945036,-73.9565551
10028,46169.0,39.7,28678.0,17302.0,60.33196178255108,Manhattan,New York County,40.77664120000001,-73.9521468
11374,41792.0,42.8,20370.0,11906.0,58.44869906725577,Rego Park,Queens County,40.72557219999999,-73.8624893
02128,44512.0,33.3,23806.0,13841.0,58.14080483911619,Boston,MA,42.3695431,-71.0200613
11421,42745.0,34.8,19170.0,11075.0,57.77256129368806,Woodhaven,Queens County,40.693029,-73.859549
07302,38811.0,33.7,24724.0,14253.0,57.648438763954054,Jersey City,NJ,40.7218318,-74.0447003
11369,39862.0,35.2,18672.0,10389.0,55.63946015424165,East Elmhurst,Queens County,40.7659246,-73.86836970000002
11433,37927.0,30.7,13286.0,7290.0,54.86978774650007,Jamaica,Queens County,40.69978340000001,-73.7860276
11224,42698.0,46.6,14853.0,8111.0,54.60849660001347,Brooklyn,NY,40.5749261,-73.9859414
10475,44582.0,46.2,18799.0,9997.0,53.17836055109314,The Bronx,NY,40.87347,-73.8272029
10014,31835.0,37.0,21529.0,11427.0,53.07724464675554,Manhattan,New York County,40.7366138,-74.0094471
11418,36751.0,34.9,16557.0,8778.0,53.016850878782385,Jamaica,Queens County,40.6966538,-73.83308439999999
11370,36271.0,35.5,12512.0,6599.0,52.74136828644501,East Elmhurst,Queens County,40.7594109,-73.8918897
10010,30708.0,35.7,18496.0,9581.0,51.8003892733564,Manhattan,New York County,40.7388319,-73.98153370000001
11419,48370.0,36.5,22346.0,11373.0,50.89501476774367,Jamaica,Queens County,40.6900246,-73.8213213
20010,33670.0,31.6,20846.0,10452.0,50.13911541782596,Northwest Washington,DC,38.9339046,-77.03053899999999
11417,31556.0,36.8,13969.0,6713.0,48.05641062352352,Ozone Park,Queens County,40.6736207,-73.8448469
10021,42142.0,40.3,24075.0,11472.0,47.651090342679126,Manhattan,New York County,40.7700703,-73.9580246
19139,42451.0,32.3,13669.0,6450.0,47.18706562294243,West Philadelphia,Philadelphia County,39.9600168,-75.22748659999999
11423,32053.0,39.4,14765.0,6858.0,46.447680325093124,Jamaica,Queens County,40.71700730000001,-73.7683784
11228,46059.0,39.9,19886.0,9208.0,46.303932414764155,Brooklyn,NY,40.6137658,-74.0153231
60613,49292.0,31.6,33881.0,15457.0,45.621439744989814,Chicago,IL,41.9577761,-87.6556468
10019,38752.0,39.7,24903.0,11272.0,45.26362285668393,Manhattan,New York County,40.7686973,-73.9918181
11378,30854.0,39.6,15066.0,6804.0,45.16129032258065,Maspeth,Queens County,40.7224092,-73.9095279
90057,45747.0,32.4,21307.0,9606.0,45.08377528511757,Westlake,Los Angeles County,34.06170609999999,-118.2789735
11367,41582.0,34.7,17128.0,7704.0,44.97898178421298,Flushing,Queens County,40.7295546,-73.8213213
19121,32787.0,25.9,9617.0,4227.0,43.95341582614121,Philadelphia,PA,39.9840919,-75.1808035
19141,33591.0,33.7,11561.0,5074.0,43.888936943171004,North Philadelphia,Philadelphia County,40.0397682,-75.145782
60660,41380.0,36.8,22191.0,9650.0,43.48609796764454,Chicago,IL,41.9901263,-87.663045
11412,37690.0,39.6,17962.0,7722.0,42.990758267453515,Jamaica,Queens County,40.6963978,-73.762495
02130,38214.0,34.2,22838.0,9583.0,41.96076714248183,Boston,MA,42.3097365,-71.1151431
60626,49237.0,34.2,25770.0,10743.0,41.68800931315483,Chicago,IL,42.0099321,-87.663045
11379,35725.0,43.4,16467.0,6787.0,41.215764863059455,Middle Village,Queens County,40.7182124,-73.8801301
10301,39367.0,35.3,16472.0,6688.0,40.60223409422049,Mid Island,Richmond County,40.6274394,-74.0946311
10304,41864.0,35.0,17056.0,6879.0,40.33184803001876,Staten Island,NY,40.6047352,-74.0916944
60621,32619.0,31.5,7700.0,3093.0,40.16883116883117,South Side,Cook County,41.7713803,-87.6433139
11413,41689.0,39.3,19524.0,7763.0,39.76131940176193,Queens,NY,40.6679426,-73.7536695
07304,41821.0,35.4,19161.0,7511.0,39.19941547935912,Jersey City,NJ,40.7160913,-74.07407289999999
07307,43911.0,33.4,21449.0,8152.0,38.00643386638072,Jersey City,NJ,40.7473758,-74.0505752
19151,32683.0,35.6,12936.0,4896.0,37.84786641929499,Philadelphia,US,39.9759847,-75.2537397
10065,31761.0,38.8,18944.0,7081.0,37.378589527027025,Manhattan,New York County,40.7645239,-73.96243270000001
19132,35930.0,34.7,9516.0,3541.0,37.21101303068516,Philadelphia,PA,39.99550720000001,-75.1720488
20032,38152.0,28.9,12537.0,4648.0,37.07426018983808,Joint Base Anacostia-Bolling,DC,38.8372336,-77.01614359999999
94117,42638.0,33.5,28756.0,10654.0,37.04965920155794,San Francisco,CA,37.7717185,-122.4438929
60644,49615.0,31.5,14180.0,5219.0,36.80535966149506,Austin,Cook County,41.8828292,-87.7517295
94114,32229.0,41.5,21248.0,7793.0,36.67639307228916,San Francisco,CA,37.7561438,-122.4325682
19138,34240.0,35.2,11240.0,4000.0,35.587188612099645,Philadelphia,PA,40.0542169,-75.16037519999999
02127,34732.0,30.6,21661.0,7625.0,35.20151424218642,Boston,MA,42.3364553,-71.0349193
90005,38638.0,34.0,20090.0,7049.0,35.08710801393728,Sanford,Los Angeles County,34.0578814,-118.3096648
11365,43138.0,41.6,18046.0,6326.0,35.05485980272637,Flushing,Queens County,40.7421943,-73.7889689
02125,33937.0,31.1,16165.0,5661.0,35.02010516548098,Boston,MA,42.3157363,-71.0527482
20001,41345.0,30.7,24073.0,8379.0,34.806629834254146,Washington,US,38.912068,-77.0190228
60615,41141.0,32.9,18293.0,6347.0,34.696331930246544,Chicago,IL,41.8003921,-87.603826
10305,41471.0,40.1,17730.0,6150.0,34.686971235194584,Staten Island,NY,40.5944059,-74.0711359
60649,45201.0,38.1,16854.0,5840.0,34.65052806455441,Chicago,IL,41.7597921,-87.56430399999999
11422,32589.0,35.5,16113.0,5581.0,34.63662880903618,Jamaica,US,40.6584068,-73.7389596
