UZA,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Miles,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
270,"Yuba City, CA","116,719","1,131,856","78,266","7,370,380","994,057","$6,772,373",0.0,0,0,$0,"1,131,856","7,370,380","$6,772,373",0.0,0,0.0,0
271,"Lynchburg, VA","116,636","1,271,939","106,038","10,328,473","2,327,762","$8,363,543",0.0,0,0,$0,"1,271,939","10,328,473","$8,363,543",0.0,0,0.0,0
272,"Monroe, LA","116,533","656,045","44,744",0,"930,134","$5,081,583",0.0,0,0,$0,"656,045",0,"$5,081,583",0.0,0,0.0,0
273,"Billings, MT","114,773","737,597","51,860","2,197,217","500,980","$5,079,703",0.0,0,0,$0,"737,597","2,197,217","$5,079,703",0.0,0,0.0,0
274,"Boulder, CO","114,591","4,278,879","331,978","37,649,423","8,226,935","$41,213,993",0.0,0,0,$0,"4,278,879","37,649,423","$41,213,993",0.0,0,0.0,0
275,"Bellingham, WA","114,473","3,460,381","229,248","16,000,857","4,805,835","$29,814,274",0.0,0,0,$0,"3,460,381","16,000,857","$29,814,274",0.0,0,0.0,0
276,"Seaside-Monterey, CA","114,237","2,664,430","171,661","15,024,055","2,381,330","$20,476,323",0.0,0,0,$0,"2,664,430","15,024,055","$20,476,323",0.0,0,0.0,0
277,"Kailua (Honolulu County)-Kaneohe, HI","113,682","546,786","34,499","2,690,613","490,794","$3,812,810",0.0,0,0,$0,"546,786","2,690,613","$3,812,810",0.0,0,0.0,0
278,"Waterloo, IA","113,418","984,448","61,809",0,"432,347","$5,227,816",0.0,0,0,$0,"984,448",0,"$5,227,816",0.0,0,0.0,0
279,"Lady Lake-The Villages, FL","112,991","42,377","2,715","56,376","4,659","$176,193",0.0,0,0,$0,"42,377","56,376","$176,193",0.0,0,0.0,0
280,"Dover, DE","110,769","2,498,008","154,788","6,830,285","1,167,429","$18,539,612",0.0,0,0,$0,"2,498,008","6,830,285","$18,539,612",0.0,0,0.0,0
281,"St. Cloud, MN","110,621","2,054,154","149,059","6,884,580","1,810,017","$13,114,124",0.0,0,0,$0,"2,054,154","6,884,580","$13,114,124",0.0,0,0.0,0
282,"Abilene, TX","110,421","801,037","59,116",0,"381,417","$3,947,859",0.0,0,0,$0,"801,037",0,"$3,947,859",0.0,0,0.0,0
283,"Waldorf, MD","109,919","1,145,179","64,556","4,040,210","575,728","$5,100,047",0.0,0,0,$0,"1,145,179","4,040,210","$5,100,047",0.0,0,0.0,0
284,"Mayagüez, PR","109,572","944,902","114,223","2,283,181","970,523","$2,702,891",0.0,0,0,$0,"944,902","2,283,181","$2,702,891",0.0,0,0.0,0
285,"Burlington, VT","108,740","1,883,228","130,922","9,973,169","2,304,543","$13,550,318",0.0,0,0,$0,"1,883,228","9,973,169","$13,550,318",0.0,0,0.0,0
286,"Bloomington, IN","108,657","1,123,505","109,923","6,670,254","3,141,183","$7,598,636",0.0,0,0,$0,"1,123,505","6,670,254","$7,598,636",0.0,0,0.0,0
287,"Pottstown, PA","107,682","277,187","22,007","282,716","239,464","$2,128,158",0.0,0,0,$0,"277,187","282,716","$2,128,158",0.0,0,0.0,0
288,"Rochester, MN","107,677","1,684,922","112,076","7,634,118","2,056,278","$9,649,515",0.0,0,0,$0,"1,684,922","7,634,118","$9,649,515",0.0,0,0.0,0
289,"El Centro-Calexico, CA","107,672","2,074,651","90,077","18,378,317","1,033,829","$6,007,617",0.0,0,0,$0,"2,074,651","18,378,317","$6,007,617",0.0,0,0.0,0
290,"Iowa City, IA","106,621","2,078,409","192,841","10,438,534","5,769,830","$12,932,915",0.0,0,0,$0,"2,078,409","10,438,534","$12,932,915",0.0,0,0.0,0
291,"Kingsport, TN-VA","106,571","697,320","44,186","408,405","186,375","$2,170,537",0.0,0,0,$0,"697,320","408,405","$2,170,537",0.0,0,0.0,0
292,"Sioux City, IA-NE-SD","106,494","803,434","60,153","3,898,263","868,984","$5,211,506",0.0,0,0,$0,"803,434","3,898,263","$5,211,506",0.0,0,0.0,0
293,"Texas City, TX","106,383","554,804","29,405","1,128,588","151,979","$2,481,256",0.0,0,0,$0,"554,804","1,128,588","$2,481,256",0.0,0,0.0,0
294,"Jacksonville, NC","105,419","788,683","47,959",0,"183,590","$1,808,600",0.0,0,0,$0,"788,683",0,"$1,808,600",0.0,0,0.0,0
295,"Rock Hill, SC","104,996","117,669","7,545",0,"14,471","$315,259",0.0,0,0,$0,"117,669",0,"$315,259",0.0,0,0.0,0
296,"Norman, OK","103,898","756,014","59,886",0,"1,172,774","$4,527,970",0.0,0,0,$0,"756,014",0,"$4,527,970",0.0,0,0.0,0
297,"Eau Claire, WI","102,852","1,407,087","89,698","2,867,029","1,027,189","$5,906,749",0.0,0,0,$0,"1,407,087","2,867,029","$5,906,749",0.0,0,0.0,0
298,"La Crosse, WI-MN","100,868","1,414,209","98,575","2,992,342","1,037,424","$6,443,930",0.0,0,0,$0,"1,414,209","2,992,342","$6,443,930",0.0,0,0.0,0
